,road,town,location,vehicles,accident_types,hospital,injuries,brands,day,time,age,latitude,longitude,hourly_temperature_2m,hourly_precipitation,hourly_rain,hourly_showers,hourly_visibility,hourly_windspeed_10m,hourly_winddirection_10m,daily_weather_code,daily_rain_sum,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,daily_wind_direction_10m_dominant,weather_matched_hour_utc,vehicles_parsed,accident_types_parsed,hospital_parsed,injuries_parsed,brands_parsed,hour,num_vehicles,num_brands,month,year,has_motorcycle,has_car,has_pedestrian,has_van,injury_severity,is_grievous,day_num,is_weekend,severity_label
0,Triq il-Belt Valletta,Iż-Żurrieq,"('Triq il-Belt Valletta', 'Iż-Żurrieq')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],[],"['Toyota', 'Piaggio']",Thursday,09:30,67,35.8294676,14.4745172,20.91699982,0,0,0,52960,3.893995285,146.309906,3,0,24.11999893,12.57425976,258.4615479,2025-10-09 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],[],"['Toyota', 'Piaggio']",9.5,2,2,10,2025,1,1,0,0,0,0,3,0,None/Unknown
1,Triq Dawret il-Gudja,Il-Gudja,"('Triq Dawret il-Gudja', 'Il-Gudja')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Kawasaki']",Friday,18:30,64,35.8483258,14.5030882,22.90049934,0,0,0,33800,6.763785839,334.7989197,80,0,21.59999847,10.07999992,346.301239,2025-06-20 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Kawasaki']",18.5,2,2,6,2025,1,1,0,0,3,1,4,0,Grievous
2,Valley Road,Ħal Qormi,"('Valley Road', 'Ħal Qormi')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Ford']",Monday,08:00,34,35.877464,14.4739598,18.40600014,0,0,0,20300,11.75387669,297.3497925,3,0,41.39999771,18.59844971,334.4191284,2025-05-12 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Ford']",8,2,2,5,2025,1,1,0,0,3,1,0,0,Grievous
3,Triq Dawret Ħal Għaxaq,Ħal Ghaxaq,"('Triq Dawret Ħal Għaxaq', 'Ħal Ghaxaq')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Malaguti', 'Volvo']",Wednesday,18:00,42,35.8484527,14.5173587,22.77649879,0,0,0,25440,9.028754234,274.573822,2,0,45.71999741,18.5321331,304.3182373,2025-07-30 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Malaguti', 'Volvo']",18,2,2,7,2025,1,1,0,0,3,1,2,0,Grievous
4,Triq il-Buqana,Ir-Rabat,"('Triq il-Buqana', 'Ir-Rabat')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Kia', 'Kymco']",Monday,20:45,25,35.8818906,14.3988213,13.00150013,0,0,0,46880,7.754636765,68.1985321,80,0,51.47999954,25.84990501,70.31113434,2025-04-07 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Kia', 'Kymco']",20.75,2,2,4,2025,1,1,0,0,3,1,0,0,Grievous
5,Triq Aldo Moro,Il-Marsa,"('Triq Aldo Moro', 'Il-Marsa')","['Car', 'Van', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Van', 'Hyundai']",Wednesday,08:50,36,35.882892,14.4944898,18.54249954,0,0,0,35680,12.96499825,181.5911102,3,0,79.91999817,24.45881271,147.2299652,2025-04-16 22:00:00+00:00,"['Car', 'Van', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Van', 'Hyundai']",8.833333333,3,3,4,2025,1,1,0,1,3,1,2,0,Grievous
6,Mosta Road,Ħal Lija,"('Mosta Road', 'Ħal Lija')","['Car', 'Van', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Slight'],"['Suzuki', 'Van', 'Renault', 'Swift']",Wednesday,10:30,24,35.901766,14.4476136,26.22050095,0,0,0,15060,3.319036007,257.4711914,1,0,39.23999786,12.59999847,304.4265442,2025-07-23 22:00:00+00:00,"['Car', 'Van', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Slight'],"['Suzuki', 'Van', 'Renault', 'Swift']",10.5,3,4,7,2025,1,1,0,1,1,0,2,0,Slight
7,Triq tal-Barrani,Iż-Żejtun,"('Triq tal-Barrani', 'Iż-Żejtun')",['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],"['Serious', 'Grievous']",['Peugeot'],Sunday,08:15,66,35.853701,14.53153,24.90649986,0,0,0,61900,10.93120289,287.2415466,1,0,37.43999863,14.82570648,297.645874,2025-08-03 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],"['Serious', 'Grievous']",['Peugeot'],8.25,1,1,8,2025,1,0,0,0,3,1,6,1,Grievous
8,John Adye Street,In-Naxxar,"('John Adye Street', 'In-Naxxar')",['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Honda'],Saturday,15:45,35,35.9133396,14.4432851,23.86899948,0,0,0,18120,2.036467552,135.0001068,1,0,19.44000053,10.13769245,278.5308228,2025-06-14 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Honda'],15.75,1,1,6,2025,1,0,0,0,3,1,5,1,Grievous
9,St James Square,Ħaż-Żabbar,"('St James Square', 'Ħaż-Żabbar')","['Vehicle', 'Motorcycle']",['Accident'],['Mater Dei'],"['Grievous', 'Slight']",['James'],Saturday,09:15,79,35.8753368,14.5374788,12.57149982,0,0,0,33520,2.902412653,29.74479485,2,0,29.87999916,13.20272636,345.9636841,2024-12-28 22:00:00+00:00,"['Vehicle', 'Motorcycle']",['Accident'],['Mater Dei'],"['Grievous', 'Slight']",['James'],9.25,2,1,12,2024,1,0,0,0,3,1,5,1,Grievous
