town,date_published,injuries,fatalities_mentioned,fatalities_count,accident_types,day,time,age,hourly_precipitation,hourly_rain,hourly_showers,daily_rain_sum,hourly_visibility,daily_weather_code,vehicles,severity_score,hourly_visibility_km
Iż-Żurrieq,2025-10-09,[],False,,"['Collision', 'Accident']",Thursday,09:30,67,0.0,0.0,0.0,0.0,52960.0,3.0,"['Motorcycle', 'Car']",0,52.96
Il-Gudja,2025-06-20,['Grievous'],False,,"['Collision', 'Accident']",Friday,18:30,64,0.0,0.0,0.0,0.0,33800.0,80.0,"['Motorcycle', 'Car']",3,33.8
Ħal Qormi,2025-05-12,['Grievous'],False,,"['Collision', 'Accident']",Monday,08:00,34,0.0,0.0,0.0,0.0,20300.0,3.0,"['Motorcycle', 'Car']",3,20.3
Ħal Ghaxaq,2025-07-30,['Grievous'],False,,"['Collision', 'Accident']",Wednesday,18:00,42,0.0,0.0,0.0,0.0,25440.0,2.0,"['Motorcycle', 'Car']",3,25.44
Ir-Rabat,2025-04-07,['Grievous'],False,,"['Collision', 'Accident']",Monday,20:45,25,0.0,0.0,0.0,0.0,46880.0,80.0,"['Motorcycle', 'Car']",3,46.88
Il-Marsa,2025-04-16,['Grievous'],False,,"['Collision', 'Accident']",Wednesday,08:50,36,0.0,0.0,0.0,0.0,35680.0,3.0,"['Motorcycle', 'Van', 'Car']",3,35.68
Ħal Lija,2025-07-23,['Slight'],True,,"['Collision', 'Accident']",Wednesday,10:30,24,0.0,0.0,0.0,0.0,15060.0,1.0,"['Motorcycle', 'Van', 'Car']",1,15.06
Iż-Żejtun,2025-08-03,"['Serious', 'Grievous']",False,,"['Collision', 'Accident']",Sunday,08:15,66,0.0,0.0,0.0,0.0,61900.0,1.0,['Motorcycle'],3,61.9
In-Naxxar,2025-06-14,['Grievous'],False,,"['Collision', 'Accident']",Saturday,15:45,35,0.0,0.0,0.0,0.0,18120.0,1.0,['Motorcycle'],3,18.12
Ħaż-Żabbar,2024-12-28,"['Slight', 'Grievous']",False,,['Accident'],Saturday,09:15,79,0.0,0.0,0.0,0.0,33520.0,2.0,"['Motorcycle', 'Vehicle']",3,33.52
In-Naxxar,2025-03-16,['Serious'],False,,['Accident'],Sunday,08:00,40,0.0,0.0,0.0,0.0,45560.0,3.0,['Motorcycle'],2,45.56
Bormla,2025-04-22,['Grievous'],False,,['Accident'],Tuesday,13:00,48,0.0,0.0,0.0,0.0,8060.0,3.0,"['Pedestrian', 'Car']",3,8.06
Il-Fgura,2025-05-08,['Grievous'],False,,['Accident'],Thursday,10:15,32,0.0,0.0,0.0,0.0,47080.0,3.0,"['Pedestrian', 'Car']",3,47.08
Ix-Xewkija,2025-06-14,['Grievous'],False,,['Accident'],Saturday,22:00,64,0.0,0.0,0.0,0.0,26600.0,0.0,['Motorcycle'],3,26.6
Tal-Pieta',2025-09-21,[],False,,['Accident'],Sunday,08:30,77,0.0,0.0,0.0,0.0,47860.0,2.0,"['Pedestrian', 'Car']",0,47.86
Ħal Luqa,2025-04-17,['Grievous'],False,,['Accident'],Thursday,12:00,80,0.0,0.0,0.0,0.0,29360.0,3.0,"['Pedestrian', 'Car']",3,29.36
Raħal Ġdid,2025-02-21,['Grievous'],False,,"['Collision', 'Accident']",Friday,07:30,80,0.0,0.0,0.0,0.0,56400.0,80.0,['Car'],3,56.4
L-Imtarfa,2024-12-22,['Grievous'],False,,['Accident'],Sunday,10:15,13,0.1000000014901161,0.0,0.1000000014901161,0.0,20500.0,3.0,"['Pedestrian', 'Car']",3,20.5
Floriana,2025-02-21,['Grievous'],False,,"['Collision', 'Accident']",Friday,13:30,61,0.0,0.0,0.0,0.0,56400.0,80.0,['Motorcycle'],3,56.4
Raħal Ġdid,2025-09-14,['Serious'],False,,['Accident'],Sunday,21:00,54,0.0,0.0,0.0,0.0,20600.0,3.0,['Motorcycle'],2,20.6
Il-Marsa,2025-08-30,['Grievous'],False,,"['Collision', 'Accident']",Saturday,15:15,55,0.0,0.0,0.0,0.0,45420.0,45.0,['Motorcycle'],3,45.42
Il-Gudja,2024-12-14,['Serious'],False,,"['Collision', 'Accident']",Saturday,19:45,50,0.0,0.0,0.0,0.0,33300.0,3.0,['Car'],2,33.3
L-Imsida,2025-05-07,['Grievous'],False,,['Accident'],Wednesday,10:00,53,0.0,0.0,0.0,0.0,39560.0,3.0,"['Pedestrian', 'Car']",3,39.56
Birżebbuġa,2025-05-07,['Grievous'],False,,"['Collision', 'Accident']",Wednesday,13:15,23,0.0,0.0,0.0,0.0,44160.0,3.0,['Motorcycle'],3,44.16
Il-Marsa,2024-12-27,['Grievous'],False,,['Accident'],Friday,07:45,36,0.0,0.0,0.0,0.0,58540.0,80.0,['Car'],3,58.54
Il-Marsa,2025-05-04,['Serious'],False,,['Accident'],Sunday,14:30,43,0.0,0.0,0.0,0.0,30020.0,3.0,['Motorcycle'],2,30.02
L-Imtarfa,2025-01-07,[],True,,['Accident'],Tuesday,21:20,25,0.0,0.0,0.0,0.0,22160.0,3.0,['Car'],0,22.16
Il-Gudja,2025-10-05,"['Slight', 'Grievous']",False,,"['Collision', 'Accident']",Sunday,23:00,49,0.0,0.0,0.0,0.0,40480.0,3.0,"['Motorcycle', 'Car', 'Vehicle']",3,40.48
Il-Marsa,2025-06-04,['Grievous'],False,,"['Collision', 'Accident']",Wednesday,07:30,39,0.0,0.0,0.0,0.0,29300.0,0.0,"['Motorcycle', 'Car']",3,29.3
Ħaż-Żabbar,2025-09-17,['Serious'],False,,['Accident'],Wednesday,23:30,52,0.0,0.0,0.0,0.0,9220.0,2.0,"['Pedestrian', 'Car']",2,9.22
San Pawl Il-Baħar,2025-04-18,['Grievous'],False,,"['Collision', 'Accident']",Friday,13:30,31,0.0,0.0,0.0,0.0,42260.0,3.0,"['Motorcycle', 'Car']",3,42.26
Il-Mosta,2025-07-07,[],False,,"['Collision', 'Accident']",Monday,18:00,34,0.0,0.0,0.0,0.0,48620.0,2.0,"['Motorcycle', 'Car']",0,48.62
Iż-Żejtun,2025-04-17,['Grievous'],False,,"['Collision', 'Accident']",Thursday,09:30,46,0.0,0.0,0.0,0.0,29360.0,3.0,"['Motorcycle', 'Car']",3,29.36
Santa Venera,2025-05-15,['Grievous'],False,,"['Collision', 'Accident']",Thursday,17:45,22,0.0,0.0,0.0,6.600000381469727,21720.0,95.0,"['Motorcycle', 'Car']",3,21.72
Ħaż-Żebbuġ,2025-06-22,['Grievous'],True,,"['Collision', 'Accident']",Sunday,22:00,57,0.0,0.0,0.0,0.0,46160.0,2.0,"['Motorcycle', 'Car']",3,46.16
San Pawl Il-Baħar,2025-09-16,['Grievous'],False,,['Accident'],Tuesday,19:30,44,0.0,0.0,0.0,0.0,21220.0,45.0,['Motorcycle'],3,21.22
In-Naxxar,2025-04-01,['Grievous'],False,,['Accident'],Tuesday,09:00,87,0.0,0.0,0.0,0.0,47180.0,80.0,"['Pedestrian', 'Car']",3,47.18
Raħal Ġdid,2025-08-19,['Grievous'],False,,['Accident'],Tuesday,16:00,75,0.0,0.0,0.0,0.0,11440.0,45.0,"['Pedestrian', 'Car']",3,11.44
Ħaż-Żebbuġ,2025-09-24,['Grievous'],False,,['Accident'],Wednesday,08:00,82,0.0,0.0,0.0,0.0,5000.0,80.0,['Car'],3,5.0
Birkirkara,2025-01-24,[],True,,['Accident'],Friday,20:15,36,0.0,0.0,0.0,0.0,19480.0,3.0,['Motorcycle'],0,19.48
L-Iklin,2025-02-15,['Grievous'],False,,"['Collision', 'Accident']",Saturday,00:00,42,0.0,0.0,0.0,1.2999999523162842,45180.0,81.0,"['Motorcycle', 'Car']",3,45.18
Il-Fgura,2025-02-20,['Grievous'],False,,"['Collision', 'Accident']",Thursday,18:00,32,0.0,0.0,0.0,0.0,25020.0,80.0,"['Motorcycle', 'Car']",3,25.02
Marsaskala,2025-02-09,['Grievous'],False,,['Accident'],Sunday,09:45,75,0.0,0.0,0.0,0.0,3360.0,95.0,"['Pedestrian', 'Car']",3,3.36
Raħal Ġdid,2025-07-26,[],True,,"['Collision', 'Accident']",Saturday,01:00,27,0.0,0.0,0.0,0.0,52580.0,2.0,['Motorcycle'],0,52.58
Għajnsielem,2025-07-02,['Grievous'],False,,['Accident'],Wednesday,21:15,22,0.0,0.0,0.0,0.0,21020.0,2.0,['Car'],3,21.02
San Ġiljan,2024-12-23,['Serious'],False,,"['Collision', 'Accident']",Monday,10:30,37,0.0,0.0,0.0,0.6000000238418579,46180.0,80.0,"['Motorcycle', 'Van', 'Bus', 'Vehicle', 'Car']",2,46.18
Il-Gżira,2025-02-01,[],False,,['Accident'],Saturday,05:00,34,0.0,0.0,0.0,0.0,40460.0,3.0,['Car'],0,40.46
Il-Gżira,2025-02-01,['Grievous'],False,,['Collision'],Saturday,12:45,59,0.0,0.0,0.0,0.0,40460.0,3.0,"['Motorcycle', 'Car']",3,40.46
Ir-Rabat,2025-02-17,['Serious'],False,,['Accident'],Monday,12:45,21,0.0,0.0,0.0,0.0,22100.0,3.0,"['Motorcycle', 'Car']",2,22.1
