accident_types,age,all_text,brands,content,daily_rain_sum,daily_weather_code,daily_wind_direction_10m_dominant,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,date_modified,date_published,day,hospital,hourly_precipitation,hourly_rain,hourly_showers,hourly_temperature_2m,hourly_visibility,hourly_winddirection_10m,hourly_windspeed_10m,injuries,latitude,longitude,road,time,title,town,vehicles
"['Accident', 'Collision']",67.0,"Collision between a car and a motorbike in Żurrieq Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Żurrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Żurrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.","['Toyota', 'Piaggio']","Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Żurrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Żurrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.",0.0,3.0,251.56494140625,24.119998931884766,9.114471435546875,2025-10-09,2025-10-09,Thursday,['Mater Dei'],0.0,0.0,0.0,21.98900032043457,57760.0,195.94546508789062,2.6208393573760986,[],35.8989979,14.5136607,Triq il-Belt,09:30,Collision between a car and a motorbike in Żurrieq,Valletta,"['Motorcycle', 'Car']"
"['Collision', 'Accident']",64.0,"Car-motorcycle traffic accident Yesterday, at around 1830hrs, the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Honda fit that was being driven by a 64-year-old man from Santa Luċija and a Kawasaki Ninja motorcycle that was being driven by a 23-year-old man from Gudja.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.","['Honda', 'Kawasaki']","Yesterday, at around 1830hrs, the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Honda fit that was being driven by a 64-year-old man from Santa Luċija and a Kawasaki Ninja motorcycle that was being driven by a 23-year-old man from Gudja.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",0.0,80.0,346.3012390136719,21.599998474121094,10.079999923706055,2025-06-20,2025-06-20,Friday,['Mater Dei'],0.0,0.0,0.0,24.81100082397461,38500.0,13.392516136169434,7.771330833435059,['grievous'],35.8627784,14.5047695,Triq Dawret il-Gudja,18:30,Car-motorcycle traffic accident,Santa Luċija,"['Motorcycle', 'Car']"
"['Accident', 'Collision']",34.0,"Car-motorcycle collision in Ħal Qormi Today, at around 0800hrs, the Police were informed of a traffic accident in Valley Road, Qormi.Preliminary investigations showed that a collision occurred between a Ford Transit driven by a 34-year-old man residing in Żebbuġ and a Honda motorcycle driven by a 29-year-old man who lives in Qormi.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.","['Honda', 'Ford']","Today, at around 0800hrs, the Police were informed of a traffic accident in Valley Road, Qormi.Preliminary investigations showed that a collision occurred between a Ford Transit driven by a 34-year-old man residing in Żebbuġ and a Honda motorcycle driven by a 29-year-old man who lives in Qormi.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",,,,,,2025-05-12,2025-05-12,Monday,['Mater Dei'],,,,,,,,['grievous'],,,,08:00,Car-motorcycle collision in Ħal Qormi,,"['Motorcycle', 'Car']"
"['Accident', 'Collision']",42.0,"Collision between motorcycle and car in Għaxaq Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Dawret Ħal Għaxaq, Għaxaq.Preliminary investigations by the Police found that there was a collision between a Volvo XC60 that was being driven by a 42-year-old man from Għaxaq and a Malaguti Madison motorcycle that was being driven by a 29-year-old Brazilian man from Zurrieq.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital for treatment where he was later certified to have sustained grievous injuries.Police investigations are ongoing.","['Volvo', 'Malaguti']","Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Dawret Ħal Għaxaq, Għaxaq.Preliminary investigations by the Police found that there was a collision between a Volvo XC60 that was being driven by a 42-year-old man from Għaxaq and a Malaguti Madison motorcycle that was being driven by a 29-year-old Brazilian man from Zurrieq.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital for treatment where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",,,,,,2025-07-30,2025-07-30,Wednesday,['Mater Dei'],,,,,,,,['grievous'],,,,18:00,Collision between motorcycle and car in Għaxaq,,"['Motorcycle', 'Car']"
"['Accident', 'Collision']",25.0,"Car-motorcycle collision Yesterday, at around quarter to nine in the evening (2045hrs), the Police were informed of a traffic accident in Triq il-Buqana, Rabat.Preliminary investigations showed that a collision occurred between a Kia Avella driven by a 25-year-old man from Santa Luċija and a Kymco Agility motorcycle driven by a 41-year-old man from Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.","['Kia', 'Kymco']","Yesterday, at around quarter to nine in the evening (2045hrs), the Police were informed of a traffic accident in Triq il-Buqana, Rabat.Preliminary investigations showed that a collision occurred between a Kia Avella driven by a 25-year-old man from Santa Luċija and a Kymco Agility motorcycle driven by a 41-year-old man from Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",0.0,80.0,72.13676452636719,51.119998931884766,21.829776763916016,2025-04-07,2025-04-07,Monday,['Mater Dei'],0.0,0.0,0.0,13.41100025177002,50520.0,70.01680755615234,8.427383422851562,['grievous'],35.8627784,14.5047695,Triq il-Buqana,20:45,Car-motorcycle collision,Santa Luċija,"['Motorcycle', 'Car']"
"['Collision', 'Accident']",36.0,"Traffic accident in Marsa Yesterday, at around ten minutes to nine in the morning (0850 hrs), the Police were informed of a traffic accident in Triq Aldo Moro, Marsa.Preliminary investigations by the District Police found that a collision occurred between a Yamaha motorcycle driven by a 36-year-old man from Cospicua, an Isuzu Elf van driven by a 52-year-old man from Fgura and a Hyundai Kona driven by a 53-year-old man from Żabbar.A medical team was called on site to assist and an ambulance took the motorcyclist to Mater Dei Hospital for treatment. He was later certified to have sustained grievous injuries.Police investigations in connection with this incident are ongoing.","['Yamaha', 'Hyundai', 'Van']","Yesterday, at around ten minutes to nine in the morning (0850 hrs), the Police were informed of a traffic accident in Triq Aldo Moro, Marsa.Preliminary investigations by the District Police found that a collision occurred between a Yamaha motorcycle driven by a 36-year-old man from Cospicua, an Isuzu Elf van driven by a 52-year-old man from Fgura and a Hyundai Kona driven by a 53-year-old man from Żabbar.A medical team was called on site to assist and an ambulance took the motorcyclist to Mater Dei Hospital for treatment. He was later certified to have sustained grievous injuries.Police investigations in connection with this incident are ongoing.",,,,,,2025-04-16,2025-04-16,Wednesday,['Mater Dei'],,,,,,,,['grievous'],,,,08:50,Traffic accident in Marsa,,"['Motorcycle', 'Car', 'Van']"
"['Accident', 'Collision']",24.0,"Van-car collision in Lija Today, at around 1030hrs, the Police were informed of a traffic accident in Mosta Road, Lija.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Renault Trafic van driven by a 24-year-old man residing in Mtarfa and a Suzuki Swift driven by an 81-year-old man residing in Mosta. In the Suzuki, there was also a 79-year-old woman who lives in Mosta.Members of the Civil Protection Department were called to the scene, as well as a medical team, and ambulances took all the people to Mater Dei Hospital to be given the necessary treatment.Unfortunately, the woman was certified dead a short time later while the other elderly man is in a serious condition. The other man was certified with slight injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry while Police investigations are ongoing.","['Swift', 'Suzuki', 'Renault', 'Van']","Today, at around 1030hrs, the Police were informed of a traffic accident in Mosta Road, Lija.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Renault Trafic van driven by a 24-year-old man residing in Mtarfa and a Suzuki Swift driven by an 81-year-old man residing in Mosta. In the Suzuki, there was also a 79-year-old woman who lives in Mosta.Members of the Civil Protection Department were called to the scene, as well as a medical team, and ambulances took all the people to Mater Dei Hospital to be given the necessary treatment.Unfortunately, the woman was certified dead a short time later while the other elderly man is in a serious condition. The other man was certified with slight injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry while Police investigations are ongoing.",,,,,,2025-07-25,2025-07-23,Wednesday,['Mater Dei'],,,,,,,,['slight'],,,,10:30,Van-car collision in Lija,,"['Motorcycle', 'Car', 'Van']"
"['Collision', 'Accident']",66.0,"Zejtun traffic accident This morning, at around 0815 hrs, the Police were informed of a traffic accident in Triq tal-Barrani, Żejtun.Preliminary investigations showed that a collision occurred between a Peugeot Tweet driven by a 66-year-old man from Zabbar and a Kawazaki motorcycle driven by a 30-year-old woman who lives in Marsaxlokk.A medical team was called on site and an ambulance took both drivers to Mater Dei Hospital for treatment. The man was later certified as suffering from serious injuries while the woman was certified as suffering from grievous injuries.Police investigations are ongoing.",['Peugeot'],"This morning, at around 0815 hrs, the Police were informed of a traffic accident in Triq tal-Barrani, Żejtun.Preliminary investigations showed that a collision occurred between a Peugeot Tweet driven by a 66-year-old man from Zabbar and a Kawazaki motorcycle driven by a 30-year-old woman who lives in Marsaxlokk.A medical team was called on site and an ambulance took both drivers to Mater Dei Hospital for treatment. The man was later certified as suffering from serious injuries while the woman was certified as suffering from grievous injuries.Police investigations are ongoing.",0.0,1.0,291.4215087890625,34.91999816894531,18.250259399414062,2025-08-03,2025-08-03,Sunday,['Mater Dei'],0.0,0.0,0.0,26.686498641967773,49320.0,303.2317199707031,12.48115348815918,"['grievous', 'serious']",35.8417662,14.5448353,Triq tal-Barrani,08:15,Zejtun traffic accident,Marsaxlokk,['Motorcycle']
"['Collision', 'Accident']",35.0,"Motorcyclist injured in traffic accident On wednesday the 11th of June, at around four in the afternoon (1545 hrs), the Police were informed of a traffic accident in John Adye Street, Naxxar.Preliminary investigations showed that a collision occurred between a Honda motorcycle driven by a 35-year-old man from Bosnia and Herzegovina and a resident of Għargħur and an Isuzu Rodeo driven by a 59-year-old man from Marsa.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",['Honda'],"On wednesday the 11th of June, at around four in the afternoon (1545 hrs), the Police were informed of a traffic accident in John Adye Street, Naxxar.Preliminary investigations showed that a collision occurred between a Honda motorcycle driven by a 35-year-old man from Bosnia and Herzegovina and a resident of Għargħur and an Isuzu Rodeo driven by a 59-year-old man from Marsa.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",,,,,,2025-06-14,2025-06-14,Saturday,['Mater Dei'],,,,,,,,['grievous'],,,,15:45,Motorcyclist injured in traffic accident,,['Motorcycle']
['Accident'],79.0,"Number of persons hospitalised following Żabbar accident Today, at around quarter past nine in the morning (0915 hrs), assistance was requested in St James Square, Zabbar after a vehicle hit a number of people.The Police went immediately on site together with a number of ambulances and members of the Civil Protection Department.It resulted from initial investigations that a 79-year-old man, from Zabbar, lost control of the vehicle he was driving and accidentally hit some persons. He was taken to Mater Dei Hospital for observation, but it was later confirmed that he was not injured.Four women, aged 39, 66, 77 and 84, and two men aged 36 and 81, all residing in Zabbar, were taken to Mater Dei Hospital by ambulances. The 84-year-old woman was later certified as suffering from grievous injuries and the others were certified as suffering from slight injuries. Three other persons were treated at the scene of the accident.Police investigations in connection with this incident are ongoing.",['James'],"Today, at around quarter past nine in the morning (0915 hrs), assistance was requested in St James Square, Zabbar after a vehicle hit a number of people.The Police went immediately on site together with a number of ambulances and members of the Civil Protection Department.It resulted from initial investigations that a 79-year-old man, from Zabbar, lost control of the vehicle he was driving and accidentally hit some persons. He was taken to Mater Dei Hospital for observation, but it was later confirmed that he was not injured.Four women, aged 39, 66, 77 and 84, and two men aged 36 and 81, all residing in Zabbar, were taken to Mater Dei Hospital by ambulances. The 84-year-old woman was later certified as suffering from grievous injuries and the others were certified as suffering from slight injuries. Three other persons were treated at the scene of the accident.Police investigations in connection with this incident are ongoing.",,,,,,2024-12-28,2024-12-28,Saturday,['Mater Dei'],,,,,,,,"['grievous', 'slight']",,,,09:15,Number of persons hospitalised following Żabbar accident,,"['Motorcycle', 'Vehicle']"
