title,date_published,date_modified,content,road,town,location,all_text,fatalities_mentioned,fatalities_count,vehicles,accident_types,hospital,injuries,brands,day,time,age,latitude,longitude,hourly_temperature_2m,hourly_precipitation,hourly_rain,hourly_showers,hourly_visibility,hourly_windspeed_10m,hourly_winddirection_10m,daily_weather_code,daily_rain_sum,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,daily_wind_direction_10m_dominant,weather_matched_hour_utc
Collision between a car and a motorbike in Żurrieq,2025-10-09,2025-10-09,"Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Żurrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Żurrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.",Triq il-Belt Valletta,Iż-Żurrieq,"('Triq il-Belt Valletta', 'Iż-Żurrieq')","Collision between a car and a motorbike in Żurrieq Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Żurrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Żurrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],[],"['Piaggio', 'Toyota']",Thursday,09:30,67,35.8294676,14.4745172,20.91699981689453,0.0,0.0,0.0,52960.0,3.8939952850341797,146.30990600585938,3.0,0.0,24.119998931884766,12.574259757995605,258.4615478515625,2025-10-09 22:00:00+00:00
Car-motorcycle traffic accident,2025-06-20,2025-06-20,"Yesterday, at around 1830hrs, the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Honda fit that was being driven by a 64-year-old man from Santa Luċija and a Kawasaki Ninja motorcycle that was being driven by a 23-year-old man from Gudja.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",Triq Dawret il-Gudja,Il-Gudja,"('Triq Dawret il-Gudja', 'Il-Gudja')","Car-motorcycle traffic accident Yesterday, at around 1830hrs, the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Honda fit that was being driven by a 64-year-old man from Santa Luċija and a Kawasaki Ninja motorcycle that was being driven by a 23-year-old man from Gudja.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Kawasaki']",Friday,18:30,64,35.8483258,14.5030882,22.90049934387207,0.0,0.0,0.0,33800.0,6.7637858390808105,334.7989196777344,80.0,0.0,21.599998474121094,10.079999923706055,346.3012390136719,2025-06-20 22:00:00+00:00
Car-motorcycle collision in Ħal Qormi,2025-05-12,2025-05-12,"Today, at around 0800hrs, the Police were informed of a traffic accident in Valley Road, Qormi.Preliminary investigations showed that a collision occurred between a Ford Transit driven by a 34-year-old man residing in Żebbuġ and a Honda motorcycle driven by a 29-year-old man who lives in Qormi.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",Valley Road,Ħal Qormi,"('Valley Road', 'Ħal Qormi')","Car-motorcycle collision in Ħal Qormi Today, at around 0800hrs, the Police were informed of a traffic accident in Valley Road, Qormi.Preliminary investigations showed that a collision occurred between a Ford Transit driven by a 34-year-old man residing in Żebbuġ and a Honda motorcycle driven by a 29-year-old man who lives in Qormi.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Ford', 'Honda']",Monday,08:00,34,35.877464,14.4739598,18.4060001373291,0.0,0.0,0.0,20300.0,11.753876686096191,297.34979248046875,3.0,0.0,41.39999771118164,18.59844970703125,334.41912841796875,2025-05-12 22:00:00+00:00
Collision between motorcycle and car in Għaxaq,2025-07-30,2025-07-30,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Dawret Ħal Għaxaq, Għaxaq.Preliminary investigations by the Police found that there was a collision between a Volvo XC60 that was being driven by a 42-year-old man from Għaxaq and a Malaguti Madison motorcycle that was being driven by a 29-year-old Brazilian man from Zurrieq.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital for treatment where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",Triq Dawret Ħal Għaxaq,Ħal Ghaxaq,"('Triq Dawret Ħal Għaxaq', 'Ħal Ghaxaq')","Collision between motorcycle and car in Għaxaq Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Dawret Ħal Għaxaq, Għaxaq.Preliminary investigations by the Police found that there was a collision between a Volvo XC60 that was being driven by a 42-year-old man from Għaxaq and a Malaguti Madison motorcycle that was being driven by a 29-year-old Brazilian man from Zurrieq.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital for treatment where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Malaguti', 'Volvo']",Wednesday,18:00,42,35.8484527,14.5173587,22.776498794555664,0.0,0.0,0.0,25440.0,9.028754234313965,274.5738220214844,2.0,0.0,45.71999740600586,18.532133102416992,304.3182373046875,2025-07-30 22:00:00+00:00
Car-motorcycle collision,2025-04-07,2025-04-07,"Yesterday, at around quarter to nine in the evening (2045hrs), the Police were informed of a traffic accident in Triq il-Buqana, Rabat.Preliminary investigations showed that a collision occurred between a Kia Avella driven by a 25-year-old man from Santa Luċija and a Kymco Agility motorcycle driven by a 41-year-old man from Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",Triq il-Buqana,Ir-Rabat,"('Triq il-Buqana', 'Ir-Rabat')","Car-motorcycle collision Yesterday, at around quarter to nine in the evening (2045hrs), the Police were informed of a traffic accident in Triq il-Buqana, Rabat.Preliminary investigations showed that a collision occurred between a Kia Avella driven by a 25-year-old man from Santa Luċija and a Kymco Agility motorcycle driven by a 41-year-old man from Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Kia', 'Kymco']",Monday,20:45,25,35.8818906,14.3988213,13.001500129699707,0.0,0.0,0.0,46880.0,7.754636764526367,68.19853210449219,80.0,0.0,51.47999954223633,25.849905014038086,70.3111343383789,2025-04-07 22:00:00+00:00
Traffic accident in Marsa,2025-04-16,2025-04-16,"Yesterday, at around ten minutes to nine in the morning (0850 hrs), the Police were informed of a traffic accident in Triq Aldo Moro, Marsa.Preliminary investigations by the District Police found that a collision occurred between a Yamaha motorcycle driven by a 36-year-old man from Cospicua, an Isuzu Elf van driven by a 52-year-old man from Fgura and a Hyundai Kona driven by a 53-year-old man from Żabbar.A medical team was called on site to assist and an ambulance took the motorcyclist to Mater Dei Hospital for treatment. He was later certified to have sustained grievous injuries.Police investigations in connection with this incident are ongoing.",Triq Aldo Moro,Il-Marsa,"('Triq Aldo Moro', 'Il-Marsa')","Traffic accident in Marsa Yesterday, at around ten minutes to nine in the morning (0850 hrs), the Police were informed of a traffic accident in Triq Aldo Moro, Marsa.Preliminary investigations by the District Police found that a collision occurred between a Yamaha motorcycle driven by a 36-year-old man from Cospicua, an Isuzu Elf van driven by a 52-year-old man from Fgura and a Hyundai Kona driven by a 53-year-old man from Żabbar.A medical team was called on site to assist and an ambulance took the motorcyclist to Mater Dei Hospital for treatment. He was later certified to have sustained grievous injuries.Police investigations in connection with this incident are ongoing.",False,,"['Motorcycle', 'Van', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Van', 'Hyundai', 'Yamaha']",Wednesday,08:50,36,35.882892,14.4944898,18.542499542236328,0.0,0.0,0.0,35680.0,12.964998245239258,181.5911102294922,3.0,0.0,79.91999816894531,24.458812713623047,147.22996520996094,2025-04-16 22:00:00+00:00
Van-car collision in Lija,2025-07-23,2025-07-25,"Today, at around 1030hrs, the Police were informed of a traffic accident in Mosta Road, Lija.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Renault Trafic van driven by a 24-year-old man residing in Mtarfa and a Suzuki Swift driven by an 81-year-old man residing in Mosta. In the Suzuki, there was also a 79-year-old woman who lives in Mosta.Members of the Civil Protection Department were called to the scene, as well as a medical team, and ambulances took all the people to Mater Dei Hospital to be given the necessary treatment.Unfortunately, the woman was certified dead a short time later while the other elderly man is in a serious condition. The other man was certified with slight injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry while Police investigations are ongoing.",Mosta Road,Ħal Lija,"('Mosta Road', 'Ħal Lija')","Van-car collision in Lija Today, at around 1030hrs, the Police were informed of a traffic accident in Mosta Road, Lija.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Renault Trafic van driven by a 24-year-old man residing in Mtarfa and a Suzuki Swift driven by an 81-year-old man residing in Mosta. In the Suzuki, there was also a 79-year-old woman who lives in Mosta.Members of the Civil Protection Department were called to the scene, as well as a medical team, and ambulances took all the people to Mater Dei Hospital to be given the necessary treatment.Unfortunately, the woman was certified dead a short time later while the other elderly man is in a serious condition. The other man was certified with slight injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry while Police investigations are ongoing.",True,,"['Motorcycle', 'Van', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Slight'],"['Suzuki', 'Swift', 'Van', 'Renault']",Wednesday,10:30,24,35.901766,14.4476136,26.220500946044922,0.0,0.0,0.0,15060.0,3.3190360069274902,257.47119140625,1.0,0.0,39.23999786376953,12.599998474121094,304.4265441894531,2025-07-23 22:00:00+00:00
Zejtun traffic accident,2025-08-03,2025-08-03,"This morning, at around 0815 hrs, the Police were informed of a traffic accident in Triq tal-Barrani, Żejtun.Preliminary investigations showed that a collision occurred between a Peugeot Tweet driven by a 66-year-old man from Zabbar and a Kawazaki motorcycle driven by a 30-year-old woman who lives in Marsaxlokk.A medical team was called on site and an ambulance took both drivers to Mater Dei Hospital for treatment. The man was later certified as suffering from serious injuries while the woman was certified as suffering from grievous injuries.Police investigations are ongoing.",Triq tal-Barrani,Iż-Żejtun,"('Triq tal-Barrani', 'Iż-Żejtun')","Zejtun traffic accident This morning, at around 0815 hrs, the Police were informed of a traffic accident in Triq tal-Barrani, Żejtun.Preliminary investigations showed that a collision occurred between a Peugeot Tweet driven by a 66-year-old man from Zabbar and a Kawazaki motorcycle driven by a 30-year-old woman who lives in Marsaxlokk.A medical team was called on site and an ambulance took both drivers to Mater Dei Hospital for treatment. The man was later certified as suffering from serious injuries while the woman was certified as suffering from grievous injuries.Police investigations are ongoing.",False,,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],"['Serious', 'Grievous']",['Peugeot'],Sunday,08:15,66,35.853701,14.53153,24.9064998626709,0.0,0.0,0.0,61900.0,10.93120288848877,287.2415466308594,1.0,0.0,37.439998626708984,14.825706481933594,297.6458740234375,2025-08-03 22:00:00+00:00
Motorcyclist injured in traffic accident,2025-06-14,2025-06-14,"On wednesday the 11th of June, at around four in the afternoon (1545 hrs), the Police were informed of a traffic accident in John Adye Street, Naxxar.Preliminary investigations showed that a collision occurred between a Honda motorcycle driven by a 35-year-old man from Bosnia and Herzegovina and a resident of Għargħur and an Isuzu Rodeo driven by a 59-year-old man from Marsa.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",John Adye Street,In-Naxxar,"('John Adye Street', 'In-Naxxar')","Motorcyclist injured in traffic accident On wednesday the 11th of June, at around four in the afternoon (1545 hrs), the Police were informed of a traffic accident in John Adye Street, Naxxar.Preliminary investigations showed that a collision occurred between a Honda motorcycle driven by a 35-year-old man from Bosnia and Herzegovina and a resident of Għargħur and an Isuzu Rodeo driven by a 59-year-old man from Marsa.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",False,,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Honda'],Saturday,15:45,35,35.9133396,14.4432851,23.868999481201172,0.0,0.0,0.0,18120.0,2.0364675521850586,135.00010681152344,1.0,0.0,19.440000534057617,10.13769245147705,278.53082275390625,2025-06-14 22:00:00+00:00
Number of persons hospitalised following Żabbar accident,2024-12-28,2024-12-28,"Today, at around quarter past nine in the morning (0915 hrs), assistance was requested in St James Square, Zabbar after a vehicle hit a number of people.The Police went immediately on site together with a number of ambulances and members of the Civil Protection Department.It resulted from initial investigations that a 79-year-old man, from Zabbar, lost control of the vehicle he was driving and accidentally hit some persons. He was taken to Mater Dei Hospital for observation, but it was later confirmed that he was not injured.Four women, aged 39, 66, 77 and 84, and two men aged 36 and 81, all residing in Zabbar, were taken to Mater Dei Hospital by ambulances. The 84-year-old woman was later certified as suffering from grievous injuries and the others were certified as suffering from slight injuries. Three other persons were treated at the scene of the accident.Police investigations in connection with this incident are ongoing.",St James Square,Ħaż-Żabbar,"('St James Square', 'Ħaż-Żabbar')","Number of persons hospitalised following Żabbar accident Today, at around quarter past nine in the morning (0915 hrs), assistance was requested in St James Square, Zabbar after a vehicle hit a number of people.The Police went immediately on site together with a number of ambulances and members of the Civil Protection Department.It resulted from initial investigations that a 79-year-old man, from Zabbar, lost control of the vehicle he was driving and accidentally hit some persons. He was taken to Mater Dei Hospital for observation, but it was later confirmed that he was not injured.Four women, aged 39, 66, 77 and 84, and two men aged 36 and 81, all residing in Zabbar, were taken to Mater Dei Hospital by ambulances. The 84-year-old woman was later certified as suffering from grievous injuries and the others were certified as suffering from slight injuries. Three other persons were treated at the scene of the accident.Police investigations in connection with this incident are ongoing.",False,,"['Motorcycle', 'Vehicle']",['Accident'],['Mater Dei'],"['Slight', 'Grievous']",['James'],Saturday,09:15,79,35.8753368,14.5374788,12.571499824523926,0.0,0.0,0.0,33520.0,2.9024126529693604,29.744794845581055,2.0,0.0,29.8799991607666,13.202726364135742,345.96368408203125,2024-12-28 22:00:00+00:00
